,TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
22114,478.00,6,12390.30,16547.24,287.44,1443.41,22.19,347355525#5_0,0.00
22115,478.00,7,8718.02,8419.20,308.15,2215.37,18.66,288088613#0_0,0.00
22116,478.00,8,10624.20,10529.16,357.19,3195.91,14.81,-288088612#5_0,0.00
22117,478.00,9,16071.65,14983.54,225.64,3.20,18.13,:2384737460_0_0,0.00
22118,479.00,0,6241.39,11158.31,259.59,2670.79,23.02,-229938465#2_0,0.00
22119,479.00,10,16056.99,14965.06,226.45,8.56,23.69,-1002123620#3_1,0.00
22120,479.00,11,10543.96,12269.25,179.41,228.29,14.58,288088612#4_0,0.00
22121,479.00,12,8431.48,11632.42,257.50,428.69,22.83,-229938465#2_0,0.00
22122,479.00,13,13208.64,13404.14,65.15,2897.53,24.34,229938465#5_0,0.00
22123,479.00,14,10543.05,12837.30,181.29,177.83,16.12,288088612#2_0,0.00
22124,479.00,15,16031.52,15293.41,270.74,333.84,19.59,347355525#1_0,0.00
22125,479.00,16,8926.86,11731.91,77.91,61.34,18.79,229938465#3_0,0.00
22126,479.00,17,9128.22,16961.56,184.92,532.91,20.35,-347355524#1_0,0.00
22127,479.00,19,10047.35,12032.07,248.34,119.01,25.53,-229938465#3_0,0.00
22128,479.00,2,8826.71,15517.96,21.36,2663.04,21.27,347355524#1_0,0.00
22129,479.00,20,10356.93,15265.92,171.23,1626.93,16.90,288088612#0_0,0.00
22130,479.00,21,10624.70,10518.92,357.19,3185.65,14.60,-288088612#5_0,0.00
22131,479.00,22,4011.70,11681.05,64.83,3932.71,20.53,347355524#0_0,0.00
22132,479.00,23,15440.92,14399.75,47.31,157.82,18.75,1002123620#1_0,0.00
22133,479.00,25,9405.57,17460.32,359.94,4.00,6.49,:2916295888_4_0,0.00
22134,479.00,26,1448.42,10450.86,63.35,1089.38,19.85,347355524#0_0,0.00
22135,479.00,28,10349.27,15336.59,351.23,1047.30,18.19,-288088612#0_0,0.00
22136,479.00,29,10574.01,13902.11,0.28,861.26,15.18,-288088612#1_0,0.00
22137,479.00,3,13916.31,15926.19,118.72,101.44,23.39,-347355525#3_0,0.00
22138,479.00,30,10665.36,8627.32,181.40,3601.75,19.57,288088612#5_0,0.00
22139,479.00,31,10621.95,7776.38,183.23,4453.82,17.98,288088612#5_0,0.00
22140,479.00,32,8421.18,14673.47,32.20,1724.68,21.56,347355524#1_0,0.00
22141,479.00,33,6374.38,10341.16,319.90,203.85,25.69,288088613#2_0,0.00
22142,479.00,34,9271.95,17384.34,18.03,4607.02,21.15,347355524#1_0,0.00
22143,479.00,35,11309.87,5761.40,336.85,6211.41,13.34,-288088612#6_0,0.00
22144,479.00,36,12815.26,16395.66,109.60,766.55,21.14,-347355525#5_0,0.00
22145,479.00,37,10670.03,9510.04,358.14,2175.69,19.34,-288088612#5_0,0.00
22146,479.00,38,17049.75,14459.94,280.60,1803.47,14.31,-958984632_0,0.00
22147,479.00,39,1089.89,10284.56,66.39,694.02,18.84,347355524#0_0,0.00
22148,479.00,4,8230.28,11585.65,255.88,635.28,22.01,-229938465#2_0,0.00
22149,479.00,40,14914.15,13948.03,75.63,4691.87,21.99,229938465#5_0,0.00
22150,479.00,42,5274.77,12280.30,244.00,2287.40,23.29,-347355524#0_0,0.00
22151,479.00,43,13539.04,13545.90,69.00,3257.23,22.96,229938465#5_0,0.00
22152,479.00,45,10233.77,16049.46,352.51,1769.50,17.53,-288088612#0_0,0.00
22153,479.00,46,16141.49,15053.72,224.82,308.97,21.13,-1002123620#4_0,0.00
22154,479.00,47,2938.50,11170.55,64.61,2744.27,18.78,347355524#0_0,0.00
22155,479.00,48,12081.31,12896.99,68.64,1661.36,18.58,229938465#5_0,0.00
22156,479.00,49,10524.18,12496.59,354.27,0.39,7.44,:5189514021_1_0,0.00
22157,479.00,5,11301.09,5782.24,337.73,6234.03,12.73,-288088612#6_0,0.00
22158,479.00,6,12368.29,16554.15,287.44,1466.48,23.07,347355525#5_0,0.00
22159,479.00,7,8702.95,8431.03,308.15,2234.52,19.16,288088613#0_0,0.00
22160,479.00,8,10623.47,10544.04,357.19,3210.80,14.90,-288088612#5_0,0.00
22161,479.00,9,16058.40,14970.82,226.35,3.57,18.40,-1002123620#3_0,0.00
22162,480.00,0,6218.54,11154.11,259.59,2694.03,23.23,-229938465#2_0,0.00
22163,480.00,10,16039.85,14948.77,226.45,32.21,23.64,-1002123620#3_1,0.00
22164,480.00,11,10544.07,12258.95,179.41,238.59,10.30,288088612#4_0,0.00
22165,480.00,12,8409.99,11627.66,257.50,450.70,22.01,-229938465#2_0,0.00
22166,480.00,13,13231.25,13414.61,65.15,2922.45,24.92,229938465#5_0,0.00
22167,480.00,14,10542.71,12821.91,181.29,193.23,15.40,288088612#2_0,0.00
22168,480.00,15,16012.05,15293.65,270.70,353.31,19.47,347355525#1_0,0.00
22169,480.00,16,8944.97,11735.78,77.91,79.85,18.51,229938465#3_0,0.00
22170,480.00,17,9126.46,16941.13,184.92,553.41,20.51,-347355524#1_0,0.00
22171,480.00,19,10023.53,12022.62,248.34,144.63,25.63,-229938465#3_0,0.00
22172,480.00,2,8834.44,15539.01,18.46,2685.47,22.43,347355524#1_0,0.00
22173,480.00,20,10359.51,15249.24,171.23,1643.80,16.87,288088612#0_0,0.00
22174,480.00,21,10623.96,10534.15,357.19,3200.90,15.24,-288088612#5_0,0.00
22175,480.00,22,4030.82,11690.04,64.83,3953.84,21.13,347355524#0_0,0.00
22176,480.00,23,15455.17,14412.89,47.31,177.20,19.38,1002123620#1_0,0.00
22177,480.00,25,9402.24,17464.55,319.98,9.59,5.59,:2916295888_4_0,0.00
22178,480.00,26,1465.99,10459.68,63.35,1109.04,19.66,347355524#0_0,0.00
22179,480.00,28,10346.39,15355.21,351.23,1066.14,18.84,-288088612#0_0,0.00
22180,480.00,29,10574.08,13917.09,0.28,876.24,14.98,-288088612#1_0,0.00
22181,480.00,3,13936.35,15915.20,118.72,124.29,22.86,-347355525#3_0,0.00
22182,480.00,30,10664.88,8607.73,181.40,3621.34,19.59,288088612#5_0,0.00
22183,480.00,31,10620.88,7757.51,183.23,4472.72,18.90,288088612#5_0,0.00
