,Car1,Car2,Car3,Car4,Car5,Car6,Car7,Car8,Car9
220,75.0,50.0,48.0,45.0,32.0,26.0,24.0,29.0,23.0
221,75.0,50.0,48.0,42.0,33.0,25.0,25.0,27.0,22.0
222,75.0,51.0,51.0,42.0,32.0,29.0,24.0,27.0,22.0
223,75.0,51.0,49.0,42.0,32.0,30.0,24.0,27.0,24.0
224,75.0,51.0,51.0,47.0,31.0,29.0,27.0,29.0,23.0
225,75.0,51.0,52.0,44.0,30.0,32.0,27.0,33.0,23.0
226,78.0,51.0,48.0,44.0,28.0,37.0,24.0,31.0,24.0
227,78.0,51.0,51.0,44.0,29.0,37.0,24.0,34.0,21.0
228,77.0,50.0,51.0,44.0,29.0,35.0,21.0,32.0,21.0
229,77.0,53.0,51.0,46.0,30.0,34.0,23.0,32.0,21.0
230,77.0,53.0,52.0,44.0,28.0,31.0,25.0,31.0,21.0
231,78.0,53.0,51.0,44.0,28.0,41.0,26.0,31.0,22.0
232,77.0,53.0,48.0,44.0,28.0,33.0,24.0,30.0,23.0
233,78.0,53.0,49.0,44.0,31.0,31.0,23.0,30.0,24.0
234,78.0,53.0,46.0,44.0,28.0,37.0,23.0,32.0,23.0
235,77.0,52.0,46.0,46.0,29.0,34.0,17.0,31.0,21.0
236,75.0,53.0,49.0,44.0,29.0,35.0,22.0,31.0,21.0
237,76.0,53.0,48.0,44.0,28.0,35.0,26.0,30.0,21.0
238,75.0,52.0,46.0,47.0,28.0,34.0,27.0,29.0,20.0
239,75.0,52.0,49.0,47.0,28.0,30.0,24.0,30.0,20.0
240,75.0,53.0,49.0,44.0,28.0,31.0,22.0,30.0,19.0
241,75.0,52.0,46.0,46.0,29.0,34.0,25.0,30.0,19.0
242,75.0,53.0,49.0,44.0,28.0,35.0,22.0,31.0,21.0
243,75.0,52.0,49.0,44.0,32.0,33.0,26.0,29.0,21.0
244,76.0,53.0,46.0,44.0,33.0,41.0,24.0,29.0,20.0
245,76.0,53.0,47.0,48.0,32.0,36.0,28.0,29.0,22.0
246,75.0,53.0,46.0,45.0,33.0,40.0,29.0,29.0,22.0
247,74.0,53.0,50.0,47.0,31.0,36.0,28.0,32.0,23.0
248,73.0,52.0,50.0,44.0,32.0,33.0,28.0,31.0,23.0
249,73.0,52.0,50.0,47.0,35.0,34.0,26.0,33.0,21.0
250,74.0,53.0,47.0,47.0,33.0,35.0,26.0,32.0,19.0
251,74.0,53.0,50.0,44.0,33.0,35.0,26.0,32.0,20.0
252,74.0,53.0,52.0,44.0,34.0,33.0,27.0,32.0,21.0
253,73.0,53.0,51.0,45.0,31.0,33.0,26.0,30.0,22.0
254,73.0,53.0,51.0,47.0,31.0,26.0,27.0,31.0,21.0
255,74.0,54.0,48.0,44.0,32.0,28.0,28.0,31.0,23.0
256,75.0,53.0,51.0,44.0,31.0,31.0,28.0,31.0,23.0
257,75.0,52.0,51.0,47.0,30.0,32.0,27.0,28.0,21.0
258,75.0,53.0,51.0,44.0,29.0,34.0,28.0,29.0,21.0
259,75.0,53.0,51.0,47.0,29.0,29.0,30.0,29.0,21.0
260,75.0,52.0,51.0,44.0,29.0,28.0,26.0,29.0,18.0
261,75.0,53.0,51.0,44.0,29.0,26.0,25.0,29.0,19.0
262,75.0,53.0,52.0,48.0,30.0,33.0,25.0,29.0,20.0
263,75.0,53.0,51.0,44.0,30.0,32.0,25.0,29.0,22.0
264,75.0,53.0,51.0,47.0,32.0,33.0,26.0,30.0,22.0
265,75.0,53.0,51.0,44.0,34.0,31.0,30.0,30.0,22.0
266,74.0,54.0,51.0,46.0,29.0,32.0,31.0,31.0,22.0
267,75.0,53.0,51.0,44.0,29.0,37.0,30.0,30.0,20.0
268,75.0,53.0,51.0,47.0,31.0,36.0,27.0,30.0,22.0
269,75.0,53.0,52.0,44.0,33.0,41.0,26.0,30.0,22.0
270,75.0,53.0,51.0,44.0,31.0,38.0,26.0,29.0,23.0
271,76.0,53.0,50.0,46.0,34.0,38.0,27.0,29.0,23.0
272,76.0,53.0,48.0,44.0,34.0,36.0,28.0,30.0,23.0
273,75.0,53.0,51.0,47.0,32.0,34.0,28.0,30.0,20.0
274,75.0,52.0,51.0,46.0,32.0,34.0,28.0,30.0,23.0
275,75.0,53.0,51.0,45.0,32.0,32.0,27.0,30.0,24.0
