TimeStep,Vehicle_ID,_X,_Y,_Angle,_Pos,_Speed,_Lane,_Slope
21.0,21,6550.59,10147.56,132.02,5.1,0.0,-288088613#0_0,0.0
21.0,3,7073.91,13840.17,178.31,225.94,14.6,602247752_0,0.0
21.0,4,15058.07,15249.21,252.19,191.33,13.61,-803864266_0,0.0
21.0,5,13561.81,172.58,338.3,185.37,13.8,-288088612#6_0,0.0
21.0,6,20716.28,19488.14,226.95,223.08,22.51,-1002123620#6_0,0.0
21.0,7,10551.2,12065.13,177.9,159.61,13.88,288088612#5_0,0.0
21.0,8,6674.25,10036.79,131.13,171.12,20.58,-288088613#0_0,0.0
21.0,9,24024.01,13359.53,260.24,146.95,18.96,347355525#0_0,0.0
22.0,0,10129.83,16552.46,166.69,319.77,16.87,288088612#0_0,0.0
22.0,1,7006.22,13180.3,232.86,333.92,20.07,-347355524#0_0,0.0
22.0,10,24052.81,13364.48,260.24,117.73,19.96,347355525#0_0,0.0
22.0,11,9549.51,17454.19,96.54,138.08,22.38,-347355525#6_0,0.0
22.0,12,9389.29,17348.36,186.18,109.15,16.17,803874779#0_0,0.0
22.0,13,8760.72,11705.39,257.5,91.46,18.0,-229938465#2_0,0.0
22.0,14,12006.22,16668.99,287.63,73.09,15.65,347355525#6_0,0.0
22.0,15,24103.85,13373.26,260.24,65.94,15.67,347355525#0_0,0.0
22.0,16,503.87,9979.25,78.02,42.6,10.48,229938465#1_0,0.0
22.0,17,7333.16,13376.97,128.13,36.57,10.49,-500298205_0,0.0
22.0,18,15220.69,15306.49,271.35,24.12,7.33,347355525#3_0,0.0
22.0,19,11800.02,15020.52,260.49,19.58,7.17,500298202_0,0.0
22.0,2,756.4,10133.18,64.56,327.73,22.21,347355524#0_0,0.0
22.0,20,4456.07,14892.25,60.51,10.31,3.7,290273433#0_0,0.0
22.0,21,6551.63,10146.62,132.02,6.5,1.4,-288088613#0_0,0.0
22.0,22,5745.85,11064.93,262.83,5.1,0.0,-229938465#1_0,0.0
22.0,3,7074.32,13826.39,178.31,239.73,13.79,602247752_0,0.0
22.0,4,15044.9,15244.98,252.19,205.17,13.84,-803864266_0,0.0
22.0,5,13556.82,185.13,338.3,198.88,13.51,-288088612#6_0,0.0
22.0,6,20699.41,19472.39,226.95,246.16,23.08,-1002123620#6_0,0.0
22.0,7,10551.72,12050.71,177.9,174.03,14.42,288088612#5_0,0.0
22.0,8,6689.27,10023.67,131.13,191.06,19.94,-288088613#0_0,0.0
22.0,9,24005.33,13356.31,260.24,165.9,18.95,347355525#0_0,0.0
23.0,0,10133.61,16536.47,166.69,336.2,16.43,288088612#0_0,0.0
